id,Created At,Tweet,Location
1.65339E+18,2023-05-02 13:33:08+00:00,"b'Where is Asari Dokubo, the slave servant of the cattle rears terrorist Fulani herdsmen? This is the oil in Niger De\xe2\x80\xa6 https://t.co/Hi7wcTWxw9'",b'Benin Rep'
1.65339E+18,2023-05-02 13:25:13+00:00,b'@LeadershipNGA I can never understand how someone can spend 8 yrs as governor with no intangible or tangible projec\xe2\x80\xa6 https://t.co/En12j6IIWH',"b'Lagos, Nigeria'"
1.65339E+18,2023-05-02 13:20:12+00:00,b'Fulani Herdsmen Kill 12 #Christians in Central #Nigeria https://t.co/Of6pn2bdPA Pls retweet #persecution\xe2\x80\xa6 https://t.co/SQkqLTZF70',b'Worldwide'
1.65339E+18,2023-05-02 13:18:31+00:00,"b""This is one of the reason I'm quitting agriculture for now. It's not for the poor. Too many factors involved for su\xe2\x80\xa6 https://t.co/cjj5qD8Bzd""",b'NIGERIA'
1.65338E+18,2023-05-02 12:59:25+00:00,b'@GazetteNGR Who are the northerners...?\nBandits group or repented Boko Haram that kept murdering innocent people Ka\xe2\x80\xa6 https://t.co/jZ89Z8q38H',b''
1.65338E+18,2023-05-02 12:59:08+00:00,"b'In 11 days of attacks through Wednesday (April 26), Fulani herdsmen killed 18 people and wounded others in predomin\xe2\x80\xa6 https://t.co/oTIqo4XcJ8'","b'Boise,Idaho'"
1.65338E+18,2023-05-02 12:56:45+00:00,"b'@ChifeDr @SakajaJohnson What about a country whose youths are destroying?\nAbout 90% of the Kidnappers, Ritual kille\xe2\x80\xa6 https://t.co/t3dyOxm7lB'",b''
1.65338E+18,2023-05-02 12:53:40+00:00,"b'@ARISEtv Pls tell #Iwuanyanwu that it\xe2\x80\x99s the Fulani herdsmen in the bush and in uniform, along with their\xe2\x80\xa6 https://t.co/XvaBnga4cj'",b''
1.65338E+18,2023-05-02 12:45:07+00:00,b'@O_flowery @RealestNamy The guy na FOOLani herdsmen',"b'Lagos, Nigeria'"
1.65338E+18,2023-05-02 12:39:34+00:00,b'No fewer than 518 people have been killed by armed herdsmen in Southern Kaduna in the past five years.\n\nAccording a\xe2\x80\xa6 https://t.co/e0zaD03fBr',b'Washington'
1.65338E+18,2023-05-02 12:31:10+00:00,b'@fkeyamo Calling oyedepo is one thing then saying religious war anoda thing. Did he say that? Even though he said s\xe2\x80\xa6 https://t.co/blyKMDqbYc',b''
1.65338E+18,2023-05-02 12:24:54+00:00,b'@olubunmi_J Biafra is my heritage and I\xe2\x80\x99m proud of my ancestors trying to oppose imperialism and this was in the 19\xe2\x80\xa6 https://t.co/DAitvddss2',"b'Vanderbijlpark, South Africa'"
1.65337E+18,2023-05-02 12:23:17+00:00,"b""It's crystal that igbos are the criminals terrorizing their own region but the media never fail to link every act o\xe2\x80\xa6 https://t.co/lO6ryNLmQG""","b'Abuja, Nigeria'"
1.65337E+18,2023-05-02 12:10:04+00:00,"b""@ReasonFE @Segvill247 @DejiAdesogan I've been there and done that, maybe the scene scares you, don't worry you'll g\xe2\x80\xa6 https://t.co/JuweQefbdc""",b''
1.65337E+18,2023-05-02 11:50:58+00:00,b'@omoluwabi Written a thread on this ages ago and even delivered a sermon in my church on this once. In Christianity\xe2\x80\xa6 https://t.co/4L5KOU4uIn',b'Nigeria'
1.65337E+18,2023-05-02 11:50:47+00:00,b'@ReasonFE @Akanbi_Semilore @DejiAdesogan And you think nigeria will still stand in 5yrs with the rate things are go\xe2\x80\xa6 https://t.co/dti8Su5mug',b''
1.65337E+18,2023-05-02 11:49:19+00:00,"b'These Igbo kidnappers, of the ESN terror group, were caught by the police wearing police and military uniform to te\xe2\x80\xa6 https://t.co/2vFheYb14L'",b'Abuja/Gombe'
1.65337E+18,2023-05-02 11:48:16+00:00,"b'@channelstv From all indications, the on-going genocidal activities against the indigenous people of Southern Kadun\xe2\x80\xa6 https://t.co/KqF8AqViYR'",b''
1.65336E+18,2023-05-02 11:40:32+00:00,b'@SaharaReporters Should be terrorists Fulani and Terrorists Herdsmen men',b''
1.65336E+18,2023-05-02 11:09:58+00:00,"b""@MrOdanz But when they're profiling Fulani herdsmen, it wasn't dengerous then ba, Na turn by turn, it's IGBO turn now let's them enjoyed it""",b''
1.65335E+18,2023-05-02 11:03:11+00:00,"b""@YeleSowore Isn't this a religious war? Your younger brother was killed under unknown circumstances, some media rep\xe2\x80\xa6 https://t.co/4rYjftxBKf""",b'New Jersey'
1.65335E+18,2023-05-02 11:01:44+00:00,b'but the herdsmen were afraid to doanything \n#\xe7\xa6\x8f\xe5\x88\xa9\xe5\xa7\xac https://t.co/RsWA78ReVi',b''
1.65335E+18,2023-05-02 10:54:11+00:00,b'@EleyiLagos I was thinking Fulani herdsmen are the problem of Nigeria until 2023 election.',b''
1.65335E+18,2023-05-02 10:52:10+00:00,b'@JeffreyGuterman Evil powers and demonic powers including Boko Haram and Herdsmen killers are endorsing Tinubu.',b''
1.65335E+18,2023-05-02 10:37:06+00:00,b'Concomitants are now open to the host communities. Settling the herdsmen in ranches to stop conflict is just a micr\xe2\x80\xa6 https://t.co/IgqceLG4XT',b'Kilmarnock Scotland '
1.65335E+18,2023-05-02 10:37:04+00:00,"b'The National Livestock Transformation Policy (NLTP) is a good document no doubt but it lacks inclusivity, it is it\xe2\x80\xa6 https://t.co/sWAJe5gdJo'",b'Kilmarnock Scotland '
1.65335E+18,2023-05-02 10:36:07+00:00,"b'Surprisingly, the people of Southern Kaduna are gradually being displaced from their ancestral lands by terrorists\xe2\x80\xa6 https://t.co/uVioJYWdEm'",b'Federal Capital Territory'
1.65335E+18,2023-05-02 10:35:50+00:00,b'Igbo will be the new Fulani herdsmen for the next 8 years https://t.co/LqsLfEe8Vo',b''
